title,location,summary,salary
newArtificial intelligence security specialist (Senior),"Hyderabad, Telangana+1 location",An artificial intelligence (AI) specialist applies their skills in engineering and computer science to create machines and software programs that can think for…,NA
newEDA Tool Developer,"Bengaluru, Karnataka","We are seeking highly motivated individuals with a BS, MS, or PhD degree in Computer Science, Computer Engineering/ECE, ready to handle the challenging problems…",NA
Junior Project Engineer - Artificial Intelligence / Machine...,"Pongumoodu, Thiruvananthapuram, Kerala","We are dedicated to providing quality and effective solutions in all domains of Engineering.
Our services include, but not limited to, independent and contract…","₹15,000 - ₹25,000 a month"
Test Lead,"Noida, Uttar Pradesh","Working on over 18 different browser/os/ mobile/native combinations while using crowdsource, automation, artificial intelligence and manual technologies to…",NA
+ Lead Testers,"Hyderabad, Telangana","Total Experience: 6- 8 yrs.
Automation Testing: Selenium (webdriver, datadriven, keyword driven, ATU graphical reports).
Database: MySql/Oracle/SQL/Postgres.",NA
Security Consultant: Intelligence & Operations,"Bengaluru, Karnataka+3 locations",You will apply your technical skills to find the balance between enabling and securing the client's organization with the cognitive solutions that are making…,NA
newBot Operator,"Bengaluru, Karnataka","Role will span across research, design, development and support of Intelligent Automation (IA) solutions and platform as required in IA roadmap.",NA
Internal Audit Specialist,Remote in India+1 location,"Conduct a wide-ranging scope of audits with an emphasis on assessing emerging areas of risk including cyber security, artificial intelligence, cloud computing,…",NA
Manager-Insights and Intelligence,"Bengaluru, Karnataka+1 location","Years of Experience: 13-18 years.
You will be required to utilize the existing frameworks, standards, patterns to create architectural foundation and services…",NA
newSystems Integration Specialist,"Noida, Uttar Pradesh","Agent & NOW Mobile app customization.
Should have good ITIL process understanding & operational activities.
Should have worked as ServiceNow admin & with basic…",NA
Technical Account Manager,"Ahmedabad, Gujarat","Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run…",NA
"Software Engineer, Back End","Bengaluru, Karnataka+1 location","We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking…",NA
"Associate Consultant, Data Scientist","Gurgaon, Haryana","Gartner Consulting is looking for an Associate Consultant that performs data engineering and data analysis, conducts statistical analysis and data exploration,…",NA
